tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
100000000,2,1,5000,0,10,0,100,0,172800,1,60,817183577383647019571366,7702154733407865548614941,0,5443669450857427712619154,458164790023576721536945696,457476041454811900000000000,460551710159539000000000000,2,0,0,0,4009999997457,0
100000000,2,1,10000,0,10,0,100,0,172800,1,60,0,7702369840151324346017943,0,4624840188784239905200886,458101070447940226748800071,457476041454811900000000000,460553570946149000000000000,0,0,0,0,4009999997466,0
100000000,3,0,0,0,10,0,100,0,172800,1,60,938476447930114296266390,4595216450907622233349558,0,1242482806370067903730656,654979488181700563244051683,654226987099143310000000000,658518196998127000000000000,0,0,0,0,4009999997458,0
100000000,3,0,5000,0,10,0,100,0,172800,1,60,467819203456479117375595,4589254113058733969049835,0,770347496608121151423052,655118452802924190350311731,654427316507773890000000000,658714042136640000000000000,0,0,0,0,4009999997469,0
100000000,3,0,10000,0,10,0,100,0,172800,1,60,0,5095753680398983536969118,0,521884144545245880438484,655257409881257345147819294,994848103165749240000000000,999421972519359000000000000,0,0,0,0,4009999997465,0
100000000,3,1,0,0,10,0,100,0,172800,1,60,938476447930114296266390,4595216450907622233349558,0,1242482806370067903730656,654979488181700563244051683,654226987099143310000000000,658518196998127000000000000,2,0,0,0,4009999997458,0
100000000,3,1,5000,0,10,0,100,0,172800,1,60,467819203456479117375595,4589254113058733969049835,0,770347496608121151423052,655118452802924190350311731,654427316507773890000000000,658714042136640000000000000,0,0,0,0,4009999997469,0
100000000,3,1,10000,0,10,0,100,0,172800,1,60,0,4583586866833203135440082,0,301065948403833359717169,655257409881257345147819294,654627633104161600000000000,658910153828338000000000000,0,0,0,0,4019999997442,0
100000000,4,0,0,0,10,0,100,0,172800,1,60,1484164219270883262909197,7366723742690034376097533,0,2450739187137268163757130,648125140498599496048622943,671408394359349330000000000,677808542843702000000000000,0,0,0,0,4009999997453,0
100000000,4,0,5000,0,10,0,100,0,172800,1,60,740365761145193493415074,7435359356646826790616065,0,1749654567701389632471286,646577711110663003991232998,679237403646438350000000000,685663473898609000000000000,0,0,0,0,4009999997461,0
