tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,reserveCostBps,bufferDays,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,bootstrapWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,bufferPaidWei,residualSourceClaimWei
100000000,2,1,0,0,10,0,10,7,172800,1,60,1637101315333336294271035,7689432377223304508659546,544154106806237501285450,5711021202120320000486475,458101070447940226748800071,457476041454811900000000000,460547399683428000000000000,32,0,0,0,4009999997471,0
100000000,2,1,5000,0,10,0,10,7,172800,1,60,815147364498718518366881,7694585177434648414831326,511415288852425907507394,4923442896288854463137624,458101070447940226748800071,457476041454811900000000000,460550915647516000000000000,2,0,0,0,4009999997456,0
100000000,2,1,10000,0,10,0,10,7,172800,1,60,0,7702369840151324346017943,478676470898630980396005,4146163717885608924804881,458101070447940226748800071,457476041454811900000000000,460553570946149000000000000,0,0,0,0,4009999997466,0
100000000,3,0,0,0,10,0,10,7,172800,1,60,933114784376480994502901,4235223443471502262267712,700333939834005294817372,808307429532020485433978,602188653661839337037113548,601423086624756860000000000,605048709619328000000000000,0,0,27,28,4009999997467,0
100000000,3,0,5000,0,10,0,10,7,172800,1,60,466061830283505696410706,4233645595676727679511886,667439917122815699719283,390498394008225813684329,602248115222863135058996000,601482492460950300000000000,605107303419485000000000000,0,0,28,30,4009999997453,0
100000000,3,0,10000,0,10,0,10,7,172800,1,60,0,4229044739039488036786678,634523675792618872090619,183600347279112956857308,602239801863215795183526579,601476007470379440000000000,604062625437669000000000000,0,0,29,31,15674355887779455152342,194621898194084592731404
100000000,3,1,0,0,10,0,10,7,172800,1,60,933809556616806436463178,4235223443471502262267712,700333939834005294817372,809002201772345927394254,602188653661839337037113548,601423086624756860000000000,605048709619328000000000000,2,0,27,28,4009999997466,0
100000000,3,1,5000,0,10,0,10,7,172800,1,60,466234921656194098929790,4233645595676727679511886,667439917122815699719283,390671485380914216203413,602248115222863135058996000,601482492460950300000000000,605107303419485000000000000,0,0,28,30,4009999997453,0
100000000,3,1,10000,0,10,0,10,7,172800,1,60,0,4229044739039488036786678,634523675792618872090619,183600347279112956857308,602239801863215795183526579,601476007470379440000000000,604062625437669000000000000,0,0,29,31,15674355887779455152342,194621898194084592731404
100000000,4,0,0,0,10,0,10,7,172800,1,60,1502162523489230561917548,7208150795508903204971521,795113748297786981389401,3085940986155770755105227,654103902327383142821549663,651071249565098470000000000,655457523421949000000000000,0,0,108,117,4009999997461,0
100000000,4,0,5000,0,10,0,10,7,172800,1,60,751141498440492890605092,7223378416543941183747790,728366872208727954627538,2631638059907123173859932,655160598313421713843017431,652125333231236400000000000,656518771728108000000000000,0,0,126,136,4009999997470,0
100000000,4,0,10000,0,10,0,10,7,172800,1,60,0,7238555274160984480478829,660538945592210910940982,2411672791863550651163881,656213905871295242651794197,653176036934854340000000000,656351293516403000000000000,0,0,144,155,8345559091638593337335,225920066261514126190473
100000000,4,1,0,0,10,0,10,7,172800,1,60,1425690032496528709125083,6957264351477715406648598,752507091007013864137334,2200229821498822022603916,582837263395094732052628755,587872297092918440000000000,592596548704193000000000000,0,0,44,45,4009999997463,0
100000000,4,1,5000,0,10,0,10,7,172800,1,60,713396195179383982707883,6972738102889282006328746,662166248791591206001837,1950730018000991754346765,584207329836090973248854984,589239902833875820000000000,593813251771394000000000000,0,0,70,74,1392614089612632567677,27834721495143888144871
100000000,4,1,10000,0,10,0,10,7,172800,1,60,0,6988881612235544833721628,607244742204446657570070,1909525664405631289093332,585656403508769837244570410,590686488176992690000000000,593933806622884000000000000,0,0,98,107,4879873201132669858642,262437863188628775716776
10000000,0,0,0,0,10,0,10,7,172800,1,60,73024672958056267414760,366740291056198511618375,54415410998164001285450,4370000001125,47872508173445713192267743,58266703802931750000000000,58457766477262000000000000,0,0,183,195,27519134452878557758601,30246811868983378749285
10000000,0,0,5000,0,10,0,10,7,172800,1,60,36512385972167937197919,366722008094232233265555,51141529183678157507394,5960000001125,47872508173445713192267743,59321435289094870000000000,59496829691283000000000000,0,0,213,227,27015757001887738216063,33038133948877172544547
10000000,0,0,10000,0,10,0,10,7,172800,1,60,0,366722008094232233265555,47867647369193980396005,5960000001125,47872508173445713192267743,59321435289094870000000000,59462818852609000000000000,0,0,240,256,26525444967853987792313,38725754929077172544547
10000000,0,1,0,0,10,0,10,7,172800,1,60,73065076345411849508567,366469169423297037347813,54415410998164001285450,4430000001125,47872508173445713192267743,54292153322785210000000000,54482932504656000000000000,0,0,183,195,27524305851017700795870,30247859257316255528050
10000000,0,1,5000,0,10,0,10,7,172800,1,60,36519462572003188175579,366450864007369801254467,51141529183678157507394,3180000001125,47872508173445713192267743,55346854829907620000000000,55521971560818000000000000,0,0,213,227,26961894969373962392227,33038242506110125860998
10000000,0,1,10000,0,10,0,10,7,172800,1,60,0,366450864007369801254467,47867647369193980396005,3180000001125,47872508173445713192267743,55346854829907620000000000,55487960631608000000000000,0,0,240,256,26465535243971348720676,38725877935060125860998
10000000,1,0,0,0,10,0,10,7,172800,1,60,94986413996185079384788,477414555481058805245497,87038310129332355392459,5110014722886,71359680120954738559113578,77930386223531240000000000,78138652919122000000000000,0,0,178,189,42172162698761513349501,46342212917048621060832
10000000,1,0,5000,0,10,0,10,7,172800,1,60,47496885886140623463284,475790526899650920340330,81119788879416666033583,0,69630615214060854773104357,77905008253492320000000000,78061749180137000000000000,0,0,201,217,41606037887657965649476,55548925414094169640261
10000000,1,0,10000,0,10,0,10,7,172800,1,60,0,476429592201774194963678,73535224963568170484582,0,69779805221567343589604252,78102343305130590000000000,78203329382417000000000000,0,0,226,244,39493039893150684986721,64931929355716159364304
10000000,1,1,0,0,10,0,10,7,172800,1,60,89177258293857012959851,447491303396938334134486,81300507505449457725244,3144041488159,68706098190967187744489949,76163902910760950000000000,76354018359274000000000000,0,0,157,173,40317651813308600163912,44316795631669713543274
10000000,1,1,5000,0,10,0,10,7,172800,1,60,44619042570799047988422,447904076277719877648020,75888126116755467022731,2870528929387,68836884827256341135265846,77852931053541470000000000,78019992927986000000000000,0,0,181,200,39827589986328334242162,48499179648066126183947
10000000,1,1,10000,0,10,0,10,7,172800,1,60,0,448342230133659069235700,70391987975197502011459,3959675610593,68967242647444193543531532,77996101355119420000000000,78113047440016000000000000,0,0,203,226,39180606108313487380419,56956213099420891983962
10000000,2,0,0,0,10,0,10,7,172800,1,60,151740266541924549913763,475255795361948722259310,54415410998164001285450,371772741255127158201267,46815165731685368405479452,47833365035311400000000000,48034172907166000000000000,0,0,0,0,4009999974675,0
10000000,2,0,5000,0,10,0,10,7,172800,1,60,75682065084777311270743,440881356856527470760622,51141529183678157507394,281522126397037850783606,46815165731685368405479452,47833365035311400000000000,48017264797499000000000000,0,0,0,0,4009999974643,0
10000000,2,0,10000,0,10,0,10,7,172800,1,60,0,454170822830126704845212,47867647369193980396005,215772220833190964470827,46815165731685368405479452,47833365035311400000000000,48023985893288000000000000,0,0,0,0,90194032968914809936,15881635443527572736
10000000,2,1,0,0,10,0,10,7,172800,1,60,162751863597723362040941,698811472854218784617263,54415410998164001285450,524281599624194590536512,46815165731685368405479452,47833365035311400000000000,48116231227756000000000000,32,0,0,0,4009999974779,0
10000000,2,1,5000,0,10,0,10,7,172800,1,60,81065878375834854306217,697751040858228784787605,51141529183678157507394,445273181774797203703782,46815165731685368405479452,47833365035311400000000000,48115767107469000000000000,2,0,0,0,4009999974770,0
10000000,2,1,10000,0,10,0,10,7,172800,1,60,0,699727582305206139319530,47867647369193980396005,368688805347417147994585,46815165731685368405479452,47833365035311400000000000,48116536024612000000000000,0,0,0,0,3999999974869,0
10000000,3,0,0,0,10,0,10,7,172800,1,60,93258123472573445193797,397473179980030409388170,70031072374473591729556,75990044602378059317446,59199032938785176850867357,60155893156837640000000000,60497195478905000000000000,0,0,27,28,4009999974566,0
10000000,3,0,5000,0,10,0,10,7,172800,1,60,46578596004865289708936,399618570683780206652044,66741731532401006636006,34213532244401091631514,59204979150774600031769678,60161833796280760000000000,60505379398552000000000000,0,0,28,29,4009999974690,0
10000000,3,0,10000,0,10,0,10,7,172800,1,60,0,408048046040583543011294,63454835379381364290430,15274789886381621188922,60233617600652888497138051,60156851486142230000000000,60409474877056000000000000,0,0,30,32,2597736274366106833557,19474302883917310455546
10000000,3,1,0,0,10,0,10,7,172800,1,60,93327598515634966380566,397473179980030409388170,70031072374473591729556,76059519645439580504215,59199032938785176850867357,60155893156837640000000000,60497195478905000000000000,2,0,27,28,4009999974566,0
10000000,3,1,5000,0,10,0,10,7,172800,1,60,46595904598859065047481,399618570683780206652044,66741731532401006636006,34230840838394866970059,59204979150774600031769678,60161833796280760000000000,60505379398552000000000000,0,0,28,29,4009999974690,0
10000000,3,1,10000,0,10,0,10,7,172800,1,60,0,408048046040583543011294,63454835379381364290430,15274789886381621188922,60233617600652888497138051,60156851486142230000000000,60409474877056000000000000,0,0,30,32,2597736274366106833557,19474302883917310455546
10000000,4,0,0,0,10,0,10,7,172800,1,60,149768135133098593419945,711688542936883946958191,77359451584140508117977,304563566798293453555965,64559757514533766351638975,65292978044777030000000000,65725909028816000000000000,0,0,106,111,4009999974641,0
