tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
10000000,0,0,5000,0,85,10,50,0,172800,1,60,36634898327333201290154,381071266720498889614735,0,3750000053010000000000,48789893019926583163033268,51765844413611770000000000,51699818814444171000000000,0,0,0,0,52580600609295768788403,100025716667122524450123,0
10000000,0,0,10000,0,85,10,50,0,172800,1,60,0,381122562822563675239014,0,3750000053010000000000,48760993248038830422028200,51765852634419970000000000,51699890230247880000000000,0,0,20,21,68443765730219999990852,100025755449338227568269,0
10000000,0,1,0,0,85,10,50,0,172800,1,60,73450693122316792550154,380154849141039066551034,0,3750000053010000000000,48816777850342294235499840,51765704101431900000000000,51833217625850421000000000,0,0,0,0,37345763081393540891572,77887863428606911881806,0
10000000,0,1,5000,0,85,10,50,0,172800,1,60,36635091989710045879922,380247838761281989542500,0,3750000053010000000000,48787873686244276317970744,51765718939952250000000000,51698679834248487000000000,0,0,0,0,52201928248924606047551,100025097030745243133359,0
10000000,0,1,10000,0,85,10,50,0,172800,1,60,0,380299167350128177926517,0,3750000053010000000000,48758973994015288734478644,51765727165824910000000000,51698751295081122000000000,0,0,20,21,68250362557481999990852,100025135841819896194238,0
10000000,1,0,0,0,85,10,50,0,172800,1,60,93299243813823876986229,482468500959284254785913,0,3750000053010000000000,71681673181674719834899869,72694414033415920000000000,72778480760748159000000000,0,0,0,0,32506225640265405960819,99874008299006040398993,0
10000000,1,0,5000,0,85,10,50,0,172800,1,60,46416922327533546029037,480888331663954809929760,0,3750000053010000000000,70020430174046110050019864,71683670692658010000000000,71616685029311286000000000,0,0,0,0,55584510500684069610729,124414819647554808346326,0
10000000,1,0,10000,0,85,10,50,0,172800,1,60,0,485521084168602508113547,0,3750000053010000000000,71593887116134201671432477,72767073843783820000000000,72580669558745373000000000,0,0,3,3,76782727290377999993757,145259673257367181128159,0
10000000,1,1,0,0,85,10,50,0,172800,1,60,89497045175080004239835,461516944095474589193444,0,3750000053010000000000,70080258992920523682802778,70923625083326300000000000,71018985787822314000000000,0,0,0,0,30939438444092806741047,93240418388412000187447,0
10000000,1,1,5000,0,85,10,50,0,172800,1,60,44460488498516837608510,459550577136497748076296,0,3750000053010000000000,70200442973965277842689311,71082518187400100000000000,71012654325679257000000000,0,0,0,0,47598664625288692728039,120046719756845110818439,0
